"date","song","artist","index"
2011-02-26,"Born This Way","Lady Gaga",1021
2011-04-09,"E.T.","Katy Perry Featuring Kanye West",0
2011-04-30,"S&M","Rihanna Featuring Britney Spears",0
2011-05-21,"Rolling In The Deep","Adele",995
2011-07-09,"Give Me Everything","Pitbull Featuring Ne-Yo, Afrojack & Nayer",0
2011-07-16,"Party Rock Anthem","LMFAO Featuring Lauren Bennett & GoonRock",1024
2011-08-27,"Last Friday Night (T.G.I.F.)","Katy Perry",0
2011-09-10,"Moves Like Jagger","Maroon 5 Featuring Christina Aguilera",0
2011-09-17,"Someone Like You","Adele",1003
2011-11-12,"We Found Love","Rihanna Featuring Calvin Harris",1013
2012-01-07,"Sexy And I Know It","LMFAO",0
2012-02-04,"Set Fire To The Rain","Adele",0
2012-02-18,"Stronger (What Doesn't Kill You)","Kelly Clarkson",0
2012-03-03,"Part Of Me","Katy Perry",0
2012-03-17,"We Are Young","fun. Featuring Janelle Monae",1048
2012-04-28,"Somebody That I Used To Know","Gotye Featuring Kimbra",1042
2012-06-23,"Call Me Maybe","Carly Rae Jepsen",1035
2012-08-25,"Whistle","Flo Rida",0
2012-09-01,"We Are Never Ever Getting Back Together","Taylor Swift",1040
2012-12-01,"Diamonds","Rihanna",0
2012-12-22,"Locked Out Of Heaven","Bruno Mars",1059
2013-02-02,"Thrift Shop","Macklemore & Ryan Lewis Featuring Wanz",0
2013-03-02,"Harlem Shake","Baauer",0
2013-04-20,"When I Was Your Man","Bruno Mars",0
2013-04-27,"Just Give Me A Reason","P!nk Featuring Nate Ruess",0
